NOC,Predicted Gold,Predicted Total Medal,Simulated Gold Mean,Simulated Gold Min,Simulated Gold Max,Simulated Total Medal Mean,Simulated Total Medal Min,Simulated Total Medal Max,One Simulation Gold,One Simulation Total Medal,2024 Gold,2024 Total Medal
叙利亚,0.1609508693218231,0.438034176826477,0.0,0,0,0.0,0,0,0,0,0,0
摩洛哥,0.1805821359157562,0.4361783862113952,0.3333333333333333,0,1,0.0,0,0,0,0,1,2
圭亚那,0.1010288968682289,0.4337634444236755,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
缅甸,0.1433587968349456,0.4161540865898132,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
危地马拉,0.1287491619586944,0.4125381112098694,0.3333333333333333,0,1,0.0,0,0,1,0,1,2
巴林,0.0817804113030433,0.4109200835227966,0.0,0,0,0.6666666666666666,0,1,0,1,2,4
格林纳达,0.0567965731024742,0.3985877931118011,0.0,0,0,0.3333333333333333,0,1,0,0,0,2
苏里南,0.1404295265674591,0.3979840874671936,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
泰国,0.047561265528202,0.3969504237174988,0.0,0,0,0.3333333333333333,0,1,0,1,1,6
海地,0.1237228885293006,0.3948011994361877,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
委内瑞拉,0.1419762074947357,0.3876001238822937,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
阿联酋,0.0500504150986671,0.3822978138923645,0.0,0,0,1.3333333333333333,0,2,0,2,0,0
吉布提,0.0897926166653633,0.3715181946754455,0.3333333333333333,0,1,0.3333333333333333,0,1,0,1,0,0
阿曼,0.1070114597678184,0.3643086552619934,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
圣卢西亚,0.1081961318850517,0.3597616851329803,0.3333333333333333,0,1,0.0,0,0,0,0,1,2
巴拿马,0.0774985924363136,0.3561225533485412,0.3333333333333333,0,1,0.0,0,0,0,0,0,1
布隆迪,0.0972465947270393,0.3523645401000976,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
冈比亚,0.0666354075074195,0.3407785296440124,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
沙特阿拉伯,0.0763277783989906,0.3398427963256836,0.0,0,0,0.0,0,0,0,0,0,0
北马其顿,0.045625664293766,0.3392311036586761,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
塔吉克斯坦,0.0828708782792091,0.3347769379615783,0.0,0,0,0.6666666666666666,0,1,0,0,0,3
巴基斯坦,0.0798650756478309,0.3160516023635864,0.0,0,0,0.0,0,0,0,0,1,1
新加坡,0.0396269336342811,0.3046907782554626,0.0,0,0,0.3333333333333333,0,1,0,0,0,1
科特迪瓦,0.0491518750786781,0.2936822772026062,0.0,0,0,0.6666666666666666,0,1,0,0,0,1
秘鲁,0.0099929347634315,0.2873026728630066,0.0,0,0,0.3333333333333333,0,1,0,1,0,1
卢森堡,0.0870770588517189,0.2817004323005676,0.0,0,0,0.0,0,0,0,0,0,0
加蓬,0.0132533088326454,0.2750143706798553,0.0,0,0,0.0,0,0,0,0,0,0
利比亚,0.0130535140633583,0.2586411833763122,0.0,0,0,1.0,0,2,0,1,0,0
阿鲁巴,0.068988986313343,0.2568689584732055,0.0,0,0,0.0,0,0,0,0,0,0
圣马力诺,0.0497343316674232,0.2565648257732391,0.3333333333333333,0,1,0.0,0,0,0,0,0,0
百慕大,0.0540728047490119,0.2539316415786743,0.0,0,0,0.0,0,0,0,0,0,0
加纳,0.0576104894280433,0.2503913044929504,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
南苏丹,0.0,0.2452291846275329,0.0,0,0,0.0,0,0,0,0,0,0
波斯尼亚和黑塞哥维那,0.056556113064289,0.2440832257270813,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
黎巴嫩,0.0421502962708473,0.2421614527702331,0.0,0,0,0.0,0,0,0,0,0,0
苏丹,0.0488055869936943,0.2361060976982116,0.0,0,0,0.0,0,0,0,0,0,0
几内亚比绍,0.0339086428284645,0.2354770898818969,0.0,0,0,0.0,0,0,0,0,0,0
尼泊尔,0.035100944340229,0.2321894168853759,0.0,0,0,0.0,0,0,0,0,0,0
