,NOC,Predicted Gold,Predicted Total Medal,Simulated Gold Mean,Simulated Gold Min,Simulated Gold Max,Simulated Total Medal Mean,Simulated Total Medal Min,Simulated Total Medal Max,One Simulation Gold,One Simulation Total Medal,2024 Gold,2024 Total Medal
40,葡萄牙,0.6398240327835083,3.024123430252075,1.3333333333333333,0,2,2.6666666666666665,2,4,2,2,1,4
88,圭亚那,0.1010288968682289,0.4337634444236755,0.3333333333333333,0,1,1.3333333333333333,0,2,1,2,0,0
49,奥地利,0.7037912607192993,2.129963159561157,1.0,0,2,1.0,0,2,0,2,2,5
154,圣基茨和尼维斯,0.0288451537489891,0.1980603039264679,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
150,帕劳,0.0270407125353813,0.1999290883541107,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
89,缅甸,0.1433587968349456,0.4161540865898132,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
90,危地马拉,0.1287491619586944,0.4125381112098694,0.0,0,0,0.3333333333333333,0,1,0,1,1,2
184,玻利维亚,0.0197105929255485,0.1751272976398468,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
144,斯威士兰,0.0323175713419914,0.2043966948986053,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
163,贝宁,0.0288792476058006,0.1873664557933807,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
148,伯利兹,0.0275399461388587,0.2018602192401886,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
134,塞拉利昂,0.0352145954966545,0.2130538821220398,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
95,海地,0.1237228885293006,0.3948011994361877,0.6666666666666666,0,2,0.6666666666666666,0,1,0,1,0,0
182,尼加拉瓜,0.0190509036183357,0.1753603816032409,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
85,萨摩亚,0.1021846309304237,0.4696528315544128,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
105,北马其顿,0.045625664293766,0.3392311036586761,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
118,南苏丹,0.0,0.2452291846275329,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
157,密克罗尼西亚,0.0272970721125602,0.1966342329978943,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
109,科特迪瓦,0.0491518750786781,0.2936822772026062,0.0,0,0,0.3333333333333333,0,1,0,1,0,1
111,卢森堡,0.0870770588517189,0.2817004323005676,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
172,中非共和国,0.0221155062317848,0.1826347410678863,0.0,0,0,1.0,0,2,0,1,0,0
171,不丹,0.0225828662514686,0.1832669377326965,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
115,圣马力诺,0.0497343316674232,0.2565648257732391,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
116,百慕大,0.0540728047490119,0.2539316415786743,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
170,文莱,0.0224570706486701,0.183841198682785,0.0,0,0,0.6666666666666666,0,1,0,1,0,0
137,汤加,0.0367577001452446,0.2105815410614013,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
108,新加坡,0.0396269336342811,0.3046907782554626,0.0,0,0,0.3333333333333333,0,1,0,1,0,1
73,摩尔多瓦,0.1482615172863006,0.7622694373130798,0.0,0,0,0.3333333333333333,0,1,0,1,0,4
63,爱沙尼亚,0.4581150710582733,1.2087405920028689,0.6666666666666666,0,1,1.6666666666666667,0,4,1,1,0,0
61,智利,0.4883821904659271,1.3532825708389282,0.6666666666666666,0,1,1.3333333333333333,1,2,1,1,1,2
70,拉脱维亚,0.1755553185939788,0.902345597743988,0.3333333333333333,0,1,1.0,0,2,0,1,0,0
67,马来西亚,0.0949257388710975,0.9201840758323668,0.0,0,0,0.3333333333333333,0,1,0,1,0,2
65,蒙古,0.0806334987282753,1.037371277809143,0.0,0,0,1.0,0,2,0,1,0,1
64,斯洛伐克,0.2856191098690033,1.1071110963821411,0.0,0,0,0.3333333333333333,0,1,0,1,0,1
55,特立尼达和多巴哥,0.7183060646057129,1.7132614850997925,0.6666666666666666,0,1,1.6666666666666667,1,2,1,1,0,0
72,朝鲜,0.1827011406421661,0.8189086318016052,0.0,0,0,1.3333333333333333,1,2,0,1,0,6
